Home Team,Home Score,Away Team,Away Score,Match Date
Espanyol,1,Sevilla,1, Sunday 13th May 2012.
Getafe,0,Real Zaragoza,2, Sunday 13th May 2012.
Levante,3,Athletic Bilbao,0, Sunday 13th May 2012.
Malaga,1,Sporting Gijon,0, Sunday 13th May 2012.
Racing Santander,2,Osasuna,4, Sunday 13th May 2012.
Rayo Vallecano,1,Granada,0, Sunday 13th May 2012.
Real Madrid,4,Real Mallorca,1, Sunday 13th May 2012.
Villarreal,0,Atletico Madrid,1, Sunday 13th May 2012.
Real Sociedad,1,Valencia,0, Saturday 12th May 2012.
Real Betis,2,Barcelona,2, Saturday 12th May 2012.
Athletic Bilbao,0,Getafe,0, Saturday 5th May 2012.
Atletico Madrid,2,Malaga,1, Saturday 5th May 2012.
Barcelona,4,Espanyol,0, Saturday 5th May 2012.
Granada,1,Real Madrid,2, Saturday 5th May 2012.
Osasuna,1,Real Sociedad,0, Saturday 5th May 2012.
Real Mallorca,1,Levante,0, Saturday 5th May 2012.
Real Zaragoza,2,Racing Santander,1, Saturday 5th May 2012.
Sevilla,5,Rayo Vallecano,2,https://www.skysports.com/football/sevilla-vs-r-vallecano/259131
Sporting Gijon,2,Real Betis,1, Saturday 5th May 2012.
Valencia,1,Villarreal,0, Saturday 5th May 2012.
Atletico Madrid,1,Real Sociedad,1, Wednesday 2nd May 2012.
Barcelona,4,Malaga,1, Wednesday 2nd May 2012.
Real Mallorca,1,Rayo Vallecano,0, Wednesday 2nd May 2012.
Real Zaragoza,1,Levante,0, Wednesday 2nd May 2012.
Sevilla,1,Real Betis,2, Wednesday 2nd May 2012.
Athletic Bilbao,0,Real Madrid,3, Wednesday 2nd May 2012.
Valencia,4,Osasuna,0, Wednesday 2nd May 2012.
Getafe,1,Racing Santander,1, Tuesday 1st May 2012.
Granada,2,Espanyol,1, Tuesday 1st May 2012.
Sporting Gijon,2,Villarreal,3, Tuesday 1st May 2012.
Real Madrid,3,Sevilla,0, Sunday 29th April 2012.
Real Zaragoza,2,Athletic Bilbao,0, Sunday 29th April 2012.
Malaga,1,Valencia,0, Sunday 29th April 2012.
Real Betis,2,Atletico Madrid,2, Sunday 29th April 2012.
Rayo Vallecano,0,Barcelona,7, Sunday 29th April 2012.
Espanyol,0,Sporting Gijon,3, Saturday 28th April 2012.
Getafe,1,Real Mallorca,3, Saturday 28th April 2012.
Levante,3,Granada,1, Saturday 28th April 2012.
Real Sociedad,3,Racing Santander,0, Saturday 28th April 2012.
Villarreal,1,Osasuna,1, Saturday 28th April 2012.
Osasuna,1,Malaga,1, Monday 23rd April 2012.
Granada,1,Getafe,0, Sunday 22nd April 2012.
Real Sociedad,1,Villarreal,1, Sunday 22nd April 2012.
Racing Santander,0,Athletic Bilbao,1, Sunday 22nd April 2012.
Atletico Madrid,3,Espanyol,1, Sunday 22nd April 2012.
Valencia,4,Real Betis,0, Sunday 22nd April 2012.
Real Mallorca,1,Real Zaragoza,0, Saturday 21st April 2012.
Sporting Gijon,2,Rayo Vallecano,1, Saturday 21st April 2012.
Barcelona,1,Real Madrid,2, Saturday 21st April 2012.
Sevilla,1,Levante,1, Saturday 21st April 2012.
Getafe,5,Sevilla,1, Monday 16th April 2012.
Espanyol,4,Valencia,0, Sunday 15th April 2012.
